waveplate_angle,avg_current
137.0,6.24e-09
137.5,6.02e-09
138.0,5.98e-09
138.5,5.95e-09
139.0,5.82e-09
139.5,5.84e-09
140.0,5.91e-09
140.5,5.7e-09
141.0,5.61e-09
141.5,5.67e-09
142.0,5.59e-09
142.5,5.49e-09
143.0,5.28e-09
143.5,5.4e-09
144.0,5.1200000000000005e-09
144.5,5.09e-09
145.0,5.064999999999999e-09
145.5,5.01e-09
146.0,4.83e-09
146.5,4.775e-09
147.0,4.76e-09
147.5,4.615e-09
148.0,4.48e-09
148.5,4.415e-09
149.0,4.31e-09
149.5,4.24e-09
150.0,4.25e-09
150.5,4.115e-09
151.0,4.02e-09
151.5,3.955e-09
152.0,3.86e-09
152.5,3.8550000000000004e-09
153.0,3.88e-09
153.5,3.795e-09
154.0,3.77e-09
154.5,3.65e-09
155.0,3.7e-09
155.5,3.67e-09
156.0,3.645e-09
156.5,3.63e-09
157.0,3.6550000000000003e-09
157.5,3.6e-09
158.0,3.615e-09
158.5,3.69e-09
159.0,3.7899999999999995e-09
159.5,3.76e-09
160.0,3.8249999999999995e-09
160.5,3.87e-09
161.0,3.93e-09
161.5,3.99e-09
162.0,4.075e-09
162.5,4.12e-09
163.0,4.19e-09
163.5,4.345e-09
164.0,4.34e-09
164.5,4.505e-09
165.0,4.64e-09
165.5,4.6750000000000005e-09
166.0,4.77e-09
166.5,4.855e-09
167.0,5.02e-09
167.5,5.11e-09
168.0,5.12e-09
168.5,5.390000000000001e-09
169.0,5.45e-09
169.5,5.595e-09
170.0,5.74e-09
170.5,5.86e-09
171.0,5.96e-09
171.5,6.145e-09
172.0,6.18e-09
172.5,6.37e-09
173.0,6.39e-09
173.5,6.46e-09
174.0,6.4900000000000005e-09
174.5,6.66e-09
175.0,6.66e-09
175.5,6.81e-09
176.0,6.8e-09
176.5,6.8e-09
177.0,6.935e-09
177.5,6.94e-09
178.0,6.9700000000000005e-09
178.5,6.96e-09
179.0,6.88e-09
179.5,6.83e-09
180.0,6.745e-09
180.49,6.76e-09
181.0,6.7e-09
181.5,6.555e-09
182.0,6.5e-09
182.5,6.445e-09
183.0,6.34e-09
183.5,6.2249999999999995e-09
184.0,6.11e-09
184.5,6.005e-09
185.0,5.9e-09
185.5,5.76e-09
186.0,5.58e-09
186.5,5.485e-09
187.0,5.35e-09
187.5,5.1949999999999995e-09
188.0,5.09e-09
188.5,4.9249999999999994e-09
189.0,4.82e-09
189.5,4.69e-09
190.0,4.53e-09
190.5,4.42e-09
191.0,4.3350000000000004e-09
191.5,4.18e-09
192.0,4.065e-09
192.5,3.92e-09
193.0,3.815e-09
193.5,3.65e-09
194.0,3.63e-09
194.5,3.54e-09
195.0,3.43e-09
195.5,3.36e-09
196.0,3.255e-09
196.5,3.24e-09
197.0,3.26e-09
197.5,3.115e-09
198.0,3.11e-09
198.5,3.02e-09
199.0,3.02e-09
199.5,3.015e-09
200.0,2.99e-09
200.5,2.98e-09
201.0,3.02e-09
201.5,2.99e-09
202.0,2.99e-09
202.5,2.99e-09
203.0,3.08e-09
203.5,3.12e-09
204.0,3.09e-09
204.5,3.225e-09
205.0,3.18e-09
205.5,3.325e-09
206.0,3.21e-09
206.5,3.44e-09
207.0,3.45e-09
207.5,3.55e-09
208.0,3.66e-09
208.5,3.79e-09
209.0,3.87e-09
209.5,3.86e-09
210.0,3.94e-09
210.5,4.19e-09
211.0,4.215e-09
211.5,4.36e-09
212.0,4.4799999999999994e-09
212.5,4.49e-09
213.0,4.700000000000001e-09
213.5,4.75e-09
214.0,5e-09
214.5,5.17e-09
215.0,5.13e-09
215.5,5.115e-09
216.0,5.26e-09
216.5,5.309999999999999e-09
217.0,5.48e-09
217.5,5.655e-09
218.0,5.68e-09
218.5,5.685e-09
219.0,5.67e-09
219.5,5.7799999999999995e-09
220.0,5.76e-09
220.5,5.86e-09
221.0,5.93e-09
221.5,5.795e-09
222.0,5.87e-09
222.5,6.065e-09
223.0,6.31e-09
223.5,6.07e-09
224.0,6.09e-09
224.5,5.9e-09
225.0,6.140000000000001e-09
225.5,6.17e-09
226.0,5.985e-09
226.5,6.01e-09
227.0,6.07e-09
227.5,6.02e-09
228.0,5.76e-09
228.5,5.75e-09
229.0,5.684999999999999e-09
229.5,5.82e-09
230.0,5.54e-09
230.5,5.52e-09
231.0,5.325e-09
231.5,5.19e-09
232.0,5.14e-09
232.5,5.18e-09
233.0,5.09e-09
233.5,4.955e-09
234.0,4.81e-09
234.5,4.73e-09
235.0,4.68e-09
235.5,4.52e-09
236.0,4.45e-09
236.5,4.38e-09
237.0,4.24e-09
237.5,4.1950000000000005e-09
238.0,3.95e-09
238.5,3.97e-09
239.0,3.83e-09
239.5,3.705e-09
240.0,3.72e-09
240.5,3.6099999999999997e-09
241.0,3.58e-09
241.5,3.49e-09
242.0,3.5200000000000003e-09
242.5,3.42e-09
243.0,3.33e-09
243.5,3.3e-09
244.0,3.3150000000000002e-09
244.5,3.31e-09
245.0,3.22e-09
245.5,3.21e-09
246.0,3.2100000000000003e-09
246.5,3.14e-09
247.0,3.1299999999999997e-09
247.5,3.15e-09
247.99,3.22e-09
248.5,3.2e-09
249.0,3.255e-09
249.5,3.29e-09
250.0,3.31e-09
250.5,3.425e-09
251.0,3.44e-09
251.5,3.5500000000000004e-09
252.0,3.6e-09
252.5,3.73e-09
253.0,3.87e-09
253.5,3.88e-09
254.0,4.03e-09
