waveplate_angle,diode_current
N/A,3.17E-09
N/A,3.20E-09
297.5,N/A
N/A,3.26E-09
298,N/A
N/A,3.44E-09
N/A,3.48E-09
298.5,N/A
N/A,3.53E-09
299,N/A
N/A,3.59E-09
N/A,3.62E-09
299.5,N/A
N/A,3.73E-09
300,N/A
N/A,3.77E-09
N/A,3.90E-09
300.5,N/A
N/A,3.96E-09
301,N/A
N/A,3.99E-09
N/A,4.12E-09
301.5,N/A
N/A,4.04E-09
302,N/A
N/A,4.28E-09
N/A,4.34E-09
302.5,N/A
N/A,4.32E-09
303,N/A
N/A,4.34E-09
303.5,N/A
N/A,4.55E-09
N/A,4.51E-09
304,N/A
N/A,4.60E-09
304.5,N/A
N/A,4.75E-09
N/A,4.91E-09
305,N/A
N/A,4.89E-09
305.5,N/A
N/A,5.09E-09
N/A,5.12E-09
306,N/A
N/A,5.26E-09
306.5,N/A
N/A,5.38E-09
N/A,5.27E-09
307,N/A
N/A,5.51E-09
307.5,N/A
N/A,5.56E-09
N/A,5.45E-09
308,N/A
N/A,5.49E-09
308.5,N/A
N/A,5.68E-09
N/A,5.66E-09
309,N/A
N/A,5.81E-09
309.5,N/A
N/A,5.82E-09
N/A,5.92E-09
310,N/A
N/A,5.78E-09
310.5,N/A
N/A,5.78E-09
311,N/A
N/A,5.85E-09
N/A,5.94E-09
311.5,N/A
N/A,5.91E-09
312,N/A
N/A,6.00E-09
N/A,6.00E-09
312.5,N/A
N/A,6.09E-09
313,N/A
N/A,5.97E-09
N/A,5.90E-09
313.5,N/A
N/A,6.04E-09
314,N/A
N/A,5.97E-09
N/A,6.00E-09
314.5,N/A
N/A,6.21E-09
315,N/A
N/A,6.05E-09
N/A,6.16E-09
315.49,N/A
N/A,6.15E-09
316,N/A
N/A,6.17E-09
N/A,6.29E-09
316.5,N/A
N/A,6.17E-09
317,N/A
N/A,6.05E-09
N/A,5.95E-09
317.5,N/A
N/A,6.24E-09
318,N/A
N/A,6.02E-09
N/A,6.02E-09
318.5,N/A
N/A,6.04E-09
319,N/A
N/A,6.03E-09
319.5,N/A
N/A,5.87E-09
N/A,5.90E-09
320,N/A
N/A,5.79E-09
320.5,N/A
N/A,5.85E-09
N/A,5.82E-09
321,N/A
N/A,5.81E-09
321.5,N/A
N/A,5.65E-09
N/A,5.60E-09
322,N/A
N/A,5.64E-09
322.5,N/A
N/A,5.55E-09
N/A,5.47E-09
323,N/A
N/A,5.50E-09
323.5,N/A
N/A,5.29E-09
N/A,5.37E-09
324,N/A
N/A,5.16E-09
324.5,N/A
N/A,5.22E-09
N/A,5.22E-09
325,N/A
N/A,5.09E-09
325.5,N/A
N/A,5.02E-09
N/A,4.93E-09
326,N/A
N/A,4.94E-09
326.5,N/A
N/A,4.82E-09
N/A,4.80E-09
327,N/A
N/A,4.77E-09
327.5,N/A
N/A,4.75E-09
328,N/A
N/A,4.53E-09
N/A,4.55E-09
328.5,N/A
N/A,4.43E-09
329,N/A
N/A,4.36E-09
N/A,4.40E-09
329.5,N/A
N/A,4.39E-09
330,N/A
N/A,4.19E-09
N/A,4.17E-09
330.5,N/A
N/A,4.10E-09
331,N/A
N/A,4.01E-09
N/A,4.13E-09
331.5,N/A
N/A,4.01E-09
332,N/A
N/A,3.90E-09
N/A,3.92E-09
332.5,N/A
N/A,3.96E-09
333,N/A
N/A,3.83E-09
N/A,3.74E-09
333.5,N/A
N/A,3.79E-09
334,N/A
N/A,3.79E-09
N/A,3.67E-09
334.5,N/A
N/A,3.75E-09
335,N/A
N/A,3.72E-09
335.5,N/A
N/A,3.73E-09
N/A,3.74E-09
336,N/A
N/A,3.66E-09
336.5,N/A
N/A,3.68E-09
N/A,3.65E-09
337,N/A
N/A,3.65E-09
337.5,N/A
N/A,3.65E-09
N/A,3.67E-09
338,N/A
N/A,3.70E-09
338.5,N/A
N/A,3.73E-09
N/A,3.72E-09
339,N/A
N/A,3.75E-09
339.5,N/A
N/A,3.74E-09
N/A,3.79E-09
340,N/A
N/A,3.77E-09
340.5,N/A
N/A,3.93E-09
N/A,3.88E-09
341,N/A
N/A,3.95E-09
341.5,N/A
N/A,3.99E-09
N/A,4.06E-09
342,N/A
N/A,4.04E-09
342.5,N/A
N/A,4.12E-09
343,N/A
N/A,4.22E-09
N/A,4.17E-09
343.5,N/A
N/A,4.30E-09
344,N/A
N/A,4.36E-09
N/A,4.41E-09
344.5,N/A
N/A,4.40E-09
345,N/A
N/A,4.56E-09
N/A,4.62E-09
345.5,N/A
N/A,4.69E-09
346,N/A
N/A,4.83E-09
N/A,4.84E-09
346.5,N/A
N/A,4.97E-09
347,N/A
N/A,5.03E-09
N/A,5.02E-09
347.5,N/A
N/A,5.16E-09
348,N/A
N/A,5.38E-09
N/A,5.37E-09
348.5,N/A
N/A,5.43E-09
349,N/A
N/A,5.53E-09
N/A,5.59E-09
349.5,N/A
N/A,5.68E-09
350,N/A
N/A,5.82E-09
N/A,5.90E-09
350.5,N/A
N/A,5.87E-09
351,N/A
N/A,6.09E-09
351.5,N/A
N/A,6.16E-09
N/A,6.09E-09
352,N/A
N/A,6.21E-09
352.5,N/A
N/A,6.33E-09
N/A,6.34E-09
353,N/A
N/A,6.48E-09
353.5,N/A
N/A,6.53E-09
N/A,6.52E-09
354,N/A
N/A,6.67E-09
354.5,N/A
N/A,6.64E-09
N/A,6.72E-09
355,N/A
N/A,6.76E-09
355.5,N/A
N/A,6.90E-09
N/A,6.83E-09
356,N/A
N/A,6.98E-09
356.5,N/A
N/A,7.02E-09
N/A,6.97E-09
357,N/A
N/A,6.99E-09
357.5,N/A
N/A,7.02E-09
N/A,7.01E-09
358,N/A
N/A,7.05E-09
358.5,N/A
N/A,7.01E-09
359,N/A
N/A,6.89E-09
N/A,6.88E-09
359.5,N/A
N/A,6.95E-09
360,N/A
N/A,6.95E-09
N/A,6.91E-09
