waveplate_angle,diode_current
N/A,3.28E-09
66,N/A
N/A,3.22E-09
N/A,3.23E-09
66.5,N/A
N/A,3.25E-09
67,N/A
N/A,3.28E-09
N/A,3.22E-09
67.5,N/A
N/A,3.27E-09
68,N/A
N/A,3.31E-09
N/A,3.35E-09
68.5,N/A
N/A,3.31E-09
69,N/A
N/A,3.36E-09
N/A,3.39E-09
69.5,N/A
N/A,3.42E-09
70,N/A
N/A,3.44E-09
N/A,3.41E-09
70.5,N/A
N/A,3.44E-09
71,N/A
N/A,3.50E-09
71.5,N/A
N/A,3.56E-09
N/A,3.57E-09
72,N/A
N/A,3.62E-09
72.5,N/A
N/A,3.70E-09
N/A,3.81E-09
73,N/A
N/A,3.87E-09
73.5,N/A
N/A,3.88E-09
N/A,3.92E-09
74,N/A
N/A,3.97E-09
74.5,N/A
N/A,4.03E-09
N/A,4.12E-09
75,N/A
N/A,4.22E-09
75.5,N/A
N/A,4.30E-09
N/A,4.31E-09
76,N/A
N/A,4.45E-09
76.5,N/A
N/A,4.51E-09
N/A,4.55E-09
77,N/A
N/A,4.69E-09
77.5,N/A
N/A,4.86E-09
N/A,4.85E-09
78,N/A
N/A,4.98E-09
78.5,N/A
N/A,5.04E-09
N/A,5.18E-09
79,N/A
N/A,5.18E-09
79.5,N/A
N/A,5.37E-09
N/A,5.53E-09
80,N/A
N/A,5.56E-09
80.5,N/A
N/A,5.73E-09
81,N/A
N/A,5.81E-09
N/A,5.77E-09
81.5,N/A
N/A,5.80E-09
82,N/A
N/A,5.95E-09
N/A,6.01E-09
82.5,N/A
N/A,6.10E-09
83,N/A
N/A,6.25E-09
N/A,6.16E-09
83.5,N/A
N/A,6.26E-09
84,N/A
N/A,6.46E-09
N/A,6.39E-09
84.5,N/A
N/A,6.55E-09
85,N/A
N/A,6.57E-09
N/A,6.62E-09
85.5,N/A
N/A,6.65E-09
86,N/A
N/A,6.73E-09
N/A,6.74E-09
86.5,N/A
N/A,6.77E-09
87,N/A
N/A,6.86E-09
N/A,6.89E-09
87.5,N/A
N/A,6.82E-09
88,N/A
N/A,6.84E-09
N/A,6.88E-09
88.5,N/A
N/A,6.84E-09
89,N/A
N/A,6.78E-09
N/A,6.84E-09
89.5,N/A
